,RT,SERIALNO
1018,H,2012000211916
1019,H,2012000212103
1020,H,2012000212282
1021,H,2012000212338
1022,H,2012000212713
1023,H,2012000213069
1024,H,2012000213457
1025,H,2012000213496
1026,H,2012000213744
1027,H,2012000214113
1028,H,2012000214259
1029,H,2012000214391
1030,H,2012000214621
1031,H,2012000214636
1032,H,2012000214772
1033,H,2012000214882
1034,H,2012000215045
1035,H,2012000215050
1036,H,2012000215294
1037,H,2012000215366
1038,H,2012000215662
1039,H,2012000215700
1040,H,2012000215793
1041,H,2012000215949
1042,H,2012000216035
1043,H,2012000216085
1044,H,2012000216161
1045,H,2012000216464
1046,H,2012000216501
1047,H,2012000216857
1048,H,2012000216916
1049,H,2012000217084
1050,H,2012000217270
1051,H,2012000217488
1052,H,2012000217517
1053,H,2012000217941
1054,H,2012000218661
1055,H,2012000218692
1056,H,2012000218734
1057,H,2012000218841
1058,H,2012000218906
1059,H,2012000219050
1060,H,2012000219285
1061,H,2012000219294
1062,H,2012000219428
1063,H,2012000219504
1064,H,2012000219506
1065,H,2012000219629
1066,H,2012000219882
1067,H,2012000219922
1068,H,2012000219980
1069,H,2012000220071
1070,H,2012000220258
1071,H,2012000220341
1072,H,2012000220354
1073,H,2012000220610
1074,H,2012000220654
1075,H,2012000220688
1076,H,2012000221409
1077,H,2012000221687
1078,H,2012000221907
1079,H,2012000222546
1080,H,2012000222638
1081,H,2012000223088
1082,H,2012000223109
1083,H,2012000223583
1084,H,2012000223591
1085,H,2012000223781
1086,H,2012000223839
1087,H,2012000224123
1088,H,2012000224270
1089,H,2012000224357
1090,H,2012000224466
1091,H,2012000224542
1092,H,2012000224571
1093,H,2012000225058
1094,H,2012000225143
1095,H,2012000225191
1096,H,2012000225642
1097,H,2012000225644
1098,H,2012000225767
1099,H,2012000226023
1100,H,2012000226677
1101,H,2012000226903
1102,H,2012000227455
1103,H,2012000227583
1104,H,2012000227621
1105,H,2012000228255
1106,H,2012000228442
1107,H,2012000228738
1108,H,2012000228808
1109,H,2012000229042
1110,H,2012000229079
1111,H,2012000229491
1112,H,2012000229762
1113,H,2012000229783
1114,H,2012000230033
1115,H,2012000230204
1116,H,2012000230228
1117,H,2012000230229
1118,H,2012000230311
1119,H,2012000230744
1120,H,2012000230772
1121,H,2012000230783
1122,H,2012000230851
1123,H,2012000231033
1124,H,2012000231113
1125,H,2012000231207
1126,H,2012000231424
1127,H,2012000231737
1128,H,2012000231916
1129,H,2012000232002
1130,H,2012000232011
1131,H,2012000232143
1132,H,2012000232280
1133,H,2012000232793
1134,H,2012000232911
1135,H,2012000233069
1136,H,2012000233413
1137,H,2012000233644
1138,H,2012000234072
1139,H,2012000234175
1140,H,2012000234391
1141,H,2012000234466
1142,H,2012000234528
1143,H,2012000235142
1144,H,2012000235143
1145,H,2012000235316
1146,H,2012000235351
1147,H,2012000235504
1148,H,2012000235711
1149,H,2012000236015
1150,H,2012000236107
1151,H,2012000236168
1152,H,2012000236248
1153,H,2012000236779
1154,H,2012000236865
1155,H,2012000237004
1156,H,2012000237008
1157,H,2012000237099
1158,H,2012000238025
1159,H,2012000238036
1160,H,2012000238182
1161,H,2012000238497
1162,H,2012000238555
1163,H,2012000238874
1164,H,2012000238959
1165,H,2012000239000
1166,H,2012000239208
1167,H,2012000239345
1168,H,2012000239476
1169,H,2012000239931
1170,H,2012000240298
1171,H,2012000240560
1172,H,2012000240738
1173,H,2012000241010
1174,H,2012000241037
1175,H,2012000241199
1176,H,2012000241405
1177,H,2012000241663
1178,H,2012000241712
1179,H,2012000241809
1180,H,2012000241863
1181,H,2012000242015
1182,H,2012000242189
1183,H,2012000242226
1184,H,2012000242350
1185,H,2012000242648
1186,H,2012000242795
1187,H,2012000242896
1188,H,2012000243411
1189,H,2012000243886
1190,H,2012000244092
1191,H,2012000244323
1192,H,2012000244460
1193,H,2012000244764
1194,H,2012000245062
1195,H,2012000245719
1196,H,2012000245786
1197,H,2012000246081
1198,H,2012000246403
1199,H,2012000246854
1200,H,2012000247412
1201,H,2012000247733
1202,H,2012000248002
1203,H,2012000248123
1204,H,2012000248162
1205,H,2012000248528
1206,H,2012000248580
1207,H,2012000248786
1208,H,2012000248787
1209,H,2012000248823
1210,H,2012000248951
1211,H,2012000249121
1212,H,2012000249454
1213,H,2012000249624
1214,H,2012000249800
1215,H,2012000249972
1216,H,2012000250292
1217,H,2012000250525
1218,H,2012000250532
1219,H,2012000250693
1220,H,2012000250974
1221,H,2012000251305
1222,H,2012000251430
1223,H,2012000251482
1224,H,2012000251566
1225,H,2012000251970
1226,H,2012000252059
1227,H,2012000252347
1228,H,2012000252451
1229,H,2012000252597
1230,H,2012000253208
1231,H,2012000253471
1232,H,2012000253551
1233,H,2012000253990
1234,H,2012000254160
1235,H,2012000254361
1236,H,2012000254416
1237,H,2012000254505
1238,H,2012000254755
1239,H,2012000255140
1240,H,2012000255239
1241,H,2012000255378
1242,H,2012000255478
1243,H,2012000255580
1244,H,2012000255878
1245,H,2012000256121
1246,H,2012000256122
1247,H,2012000256166
1248,H,2012000257188
1249,H,2012000257376
1250,H,2012000257382
1251,H,2012000257520
1252,H,2012000257587
1253,H,2012000257763
1254,H,2012000258144
1255,H,2012000258254
1256,H,2012000258431
1257,H,2012000258626
1258,H,2012000258803
1259,H,2012000258975
1260,H,2012000259175
1261,H,2012000259291
1262,H,2012000259519
1263,H,2012000259975
1264,H,2012000259999
1265,H,2012000260035
1266,H,2012000260078
1267,H,2012000260154
1268,H,2012000260286
1269,H,2012000260446
1270,H,2012000260470
1271,H,2012000260846
1272,H,2012000261243
1273,H,2012000261545
1274,H,2012000261631
1275,H,2012000261656
1276,H,2012000261674
1277,H,2012000261783
1278,H,2012000262038
1279,H,2012000262435
1280,H,2012000262964
1281,H,2012000263159
1282,H,2012000264533
1283,H,2012000264880
1284,H,2012000264963
1285,H,2012000264980
1286,H,2012000265033
1287,H,2012000265196
1288,H,2012000265246
1289,H,2012000265873
1290,H,2012000266128
1291,H,2012000266173
1292,H,2012000266473
1293,H,2012000266597
1294,H,2012000266665
1295,H,2012000267155
1296,H,2012000267244
1297,H,2012000267479
1298,H,2012000267600
1299,H,2012000267795
1300,H,2012000267814
1301,H,2012000267888
1302,H,2012000268219
1303,H,2012000268283
1304,H,2012000268351
1305,H,2012000268479
1306,H,2012000268488
1307,H,2012000268643
1308,H,2012000269254
1309,H,2012000269292
1310,H,2012000269661
1311,H,2012000269723
1312,H,2012000269877
1313,H,2012000270013
1314,H,2012000270101
1315,H,2012000270253
1316,H,2012000270299
1317,H,2012000270314
1318,H,2012000270472
1319,H,2012000270496
1320,H,2012000270509
1321,H,2012000270526
1322,H,2012000270541
1323,H,2012000270577
1324,H,2012000270841
1325,H,2012000271101
1326,H,2012000271124
1327,H,2012000271142
1328,H,2012000271165
1329,H,2012000271303
1330,H,2012000271744
1331,H,2012000271760
1332,H,2012000271889
1333,H,2012000271962
1334,H,2012000272402
1335,H,2012000272625
1336,H,2012000272682
1337,H,2012000272872
1338,H,2012000272977
1339,H,2012000273309
1340,H,2012000273463
1341,H,2012000273660
1342,H,2012000273835
1343,H,2012000274079
1344,H,2012000274169
1345,H,2012000274623
1346,H,2012000274647
1347,H,2012000274936
1348,H,2012000275451
1349,H,2012000275760
1350,H,2012000276017
1351,H,2012000276207
1352,H,2012000276238
1353,H,2012000276507
1354,H,2012000276652
1355,H,2012000276903
1356,H,2012000276981
1357,H,2012000277085
