,SERIALNO,DIVISION
886,2012000186606,8
887,2012000186801,8
888,2012000187015,8
889,2012000187018,8
890,2012000187461,8
891,2012000187616,8
892,2012000187732,8
893,2012000187745,8
894,2012000187756,8
895,2012000187758,8
896,2012000187936,8
897,2012000187990,8
898,2012000188287,8
899,2012000188620,8
900,2012000188700,8
901,2012000189049,8
902,2012000189066,8
903,2012000189124,8
904,2012000189710,8
905,2012000189736,8
906,2012000189877,8
907,2012000189901,8
908,2012000189922,8
909,2012000190094,8
910,2012000190335,8
911,2012000191143,8
912,2012000191229,8
913,2012000191255,8
914,2012000191567,8
915,2012000191656,8
916,2012000191705,8
917,2012000192772,8
918,2012000193079,8
919,2012000193272,8
920,2012000193551,8
921,2012000193558,8
922,2012000193632,8
923,2012000193719,8
924,2012000193766,8
925,2012000193847,8
926,2012000193934,8
927,2012000194059,8
928,2012000194075,8
929,2012000194197,8
930,2012000194249,8
931,2012000195115,8
932,2012000195275,8
933,2012000195627,8
934,2012000195782,8
935,2012000195816,8
936,2012000196082,8
937,2012000196196,8
938,2012000196224,8
939,2012000196380,8
940,2012000196596,8
941,2012000196750,8
942,2012000197290,8
943,2012000197330,8
944,2012000197374,8
945,2012000197404,8
946,2012000197442,8
947,2012000197658,8
948,2012000197725,8
949,2012000198554,8
950,2012000198792,8
951,2012000199306,8
952,2012000199795,8
953,2012000199849,8
954,2012000200028,8
955,2012000200257,8
956,2012000200422,8
957,2012000200815,8
958,2012000201098,8
959,2012000201330,8
960,2012000201395,8
961,2012000201407,8
962,2012000201507,8
963,2012000201532,8
964,2012000201700,8
965,2012000201904,8
966,2012000201918,8
967,2012000201925,8
968,2012000202088,8
969,2012000202096,8
970,2012000202165,8
971,2012000202308,8
972,2012000202320,8
973,2012000202331,8
974,2012000202383,8
975,2012000202569,8
976,2012000202719,8
977,2012000202781,8
978,2012000203031,8
979,2012000203413,8
980,2012000203429,8
981,2012000204366,8
982,2012000204629,8
983,2012000204745,8
984,2012000205002,8
985,2012000205121,8
986,2012000205198,8
987,2012000205289,8
988,2012000205366,8
989,2012000205422,8
990,2012000205745,8
991,2012000205789,8
992,2012000206262,8
993,2012000207042,8
994,2012000207289,8
995,2012000207570,8
996,2012000207721,8
997,2012000208291,8
998,2012000208365,8
999,2012000208379,8
1000,2012000208457,8
1001,2012000208642,8
1002,2012000208699,8
1003,2012000208945,8
1004,2012000209007,8
1005,2012000209886,8
1006,2012000209907,8
1007,2012000210182,8
1008,2012000210366,8
1009,2012000210624,8
1010,2012000210729,8
1011,2012000210869,8
1012,2012000211079,8
1013,2012000211251,8
1014,2012000211281,8
1015,2012000211309,8
1016,2012000211586,8
1017,2012000211896,8
1018,2012000211916,8
1019,2012000212103,8
1020,2012000212282,8
1021,2012000212338,8
1022,2012000212713,8
1023,2012000213069,8
1024,2012000213457,8
1025,2012000213496,8
1026,2012000213744,8
1027,2012000214113,8
1028,2012000214259,8
1029,2012000214391,8
1030,2012000214621,8
1031,2012000214636,8
1032,2012000214772,8
1033,2012000214882,8
1034,2012000215045,8
1035,2012000215050,8
1036,2012000215294,8
1037,2012000215366,8
1038,2012000215662,8
1039,2012000215700,8
1040,2012000215793,8
1041,2012000215949,8
1042,2012000216035,8
1043,2012000216085,8
1044,2012000216161,8
1045,2012000216464,8
1046,2012000216501,8
1047,2012000216857,8
1048,2012000216916,8
1049,2012000217084,8
1050,2012000217270,8
1051,2012000217488,8
1052,2012000217517,8
1053,2012000217941,8
1054,2012000218661,8
1055,2012000218692,8
1056,2012000218734,8
1057,2012000218841,8
1058,2012000218906,8
1059,2012000219050,8
1060,2012000219285,8
1061,2012000219294,8
1062,2012000219428,8
1063,2012000219504,8
1064,2012000219506,8
1065,2012000219629,8
1066,2012000219882,8
1067,2012000219922,8
1068,2012000219980,8
1069,2012000220071,8
1070,2012000220258,8
1071,2012000220341,8
1072,2012000220354,8
1073,2012000220610,8
1074,2012000220654,8
1075,2012000220688,8
1076,2012000221409,8
1077,2012000221687,8
1078,2012000221907,8
1079,2012000222546,8
1080,2012000222638,8
1081,2012000223088,8
1082,2012000223109,8
1083,2012000223583,8
1084,2012000223591,8
1085,2012000223781,8
1086,2012000223839,8
1087,2012000224123,8
1088,2012000224270,8
1089,2012000224357,8
1090,2012000224466,8
1091,2012000224542,8
1092,2012000224571,8
1093,2012000225058,8
1094,2012000225143,8
1095,2012000225191,8
1096,2012000225642,8
1097,2012000225644,8
1098,2012000225767,8
1099,2012000226023,8
1100,2012000226677,8
1101,2012000226903,8
1102,2012000227455,8
1103,2012000227583,8
1104,2012000227621,8
1105,2012000228255,8
1106,2012000228442,8
1107,2012000228738,8
1108,2012000228808,8
1109,2012000229042,8
1110,2012000229079,8
1111,2012000229491,8
1112,2012000229762,8
1113,2012000229783,8
1114,2012000230033,8
1115,2012000230204,8
1116,2012000230228,8
1117,2012000230229,8
1118,2012000230311,8
1119,2012000230744,8
1120,2012000230772,8
1121,2012000230783,8
1122,2012000230851,8
1123,2012000231033,8
1124,2012000231113,8
1125,2012000231207,8
1126,2012000231424,8
1127,2012000231737,8
1128,2012000231916,8
1129,2012000232002,8
1130,2012000232011,8
1131,2012000232143,8
1132,2012000232280,8
1133,2012000232793,8
1134,2012000232911,8
1135,2012000233069,8
1136,2012000233413,8
1137,2012000233644,8
1138,2012000234072,8
1139,2012000234175,8
1140,2012000234391,8
1141,2012000234466,8
1142,2012000234528,8
1143,2012000235142,8
1144,2012000235143,8
1145,2012000235316,8
1146,2012000235351,8
1147,2012000235504,8
1148,2012000235711,8
1149,2012000236015,8
1150,2012000236107,8
1151,2012000236168,8
1152,2012000236248,8
1153,2012000236779,8
1154,2012000236865,8
1155,2012000237004,8
1156,2012000237008,8
1157,2012000237099,8
1158,2012000238025,8
1159,2012000238036,8
1160,2012000238182,8
1161,2012000238497,8
1162,2012000238555,8
1163,2012000238874,8
1164,2012000238959,8
1165,2012000239000,8
1166,2012000239208,8
1167,2012000239345,8
1168,2012000239476,8
1169,2012000239931,8
1170,2012000240298,8
1171,2012000240560,8
1172,2012000240738,8
1173,2012000241010,8
1174,2012000241037,8
1175,2012000241199,8
1176,2012000241405,8
1177,2012000241663,8
1178,2012000241712,8
1179,2012000241809,8
1180,2012000241863,8
1181,2012000242015,8
1182,2012000242189,8
1183,2012000242226,8
1184,2012000242350,8
1185,2012000242648,8
1186,2012000242795,8
1187,2012000242896,8
1188,2012000243411,8
1189,2012000243886,8
1190,2012000244092,8
1191,2012000244323,8
1192,2012000244460,8
1193,2012000244764,8
1194,2012000245062,8
1195,2012000245719,8
1196,2012000245786,8
1197,2012000246081,8
1198,2012000246403,8
1199,2012000246854,8
1200,2012000247412,8
1201,2012000247733,8
1202,2012000248002,8
1203,2012000248123,8
1204,2012000248162,8
1205,2012000248528,8
1206,2012000248580,8
1207,2012000248786,8
1208,2012000248787,8
1209,2012000248823,8
1210,2012000248951,8
1211,2012000249121,8
1212,2012000249454,8
1213,2012000249624,8
1214,2012000249800,8
1215,2012000249972,8
1216,2012000250292,8
1217,2012000250525,8
1218,2012000250532,8
1219,2012000250693,8
1220,2012000250974,8
1221,2012000251305,8
1222,2012000251430,8
1223,2012000251482,8
1224,2012000251566,8
1225,2012000251970,8
1226,2012000252059,8
1227,2012000252347,8
1228,2012000252451,8
1229,2012000252597,8
1230,2012000253208,8
1231,2012000253471,8
1232,2012000253551,8
1233,2012000253990,8
1234,2012000254160,8
1235,2012000254361,8
1236,2012000254416,8
1237,2012000254505,8
1238,2012000254755,8
1239,2012000255140,8
1240,2012000255239,8
1241,2012000255378,8
1242,2012000255478,8
1243,2012000255580,8
1244,2012000255878,8
1245,2012000256121,8
1246,2012000256122,8
1247,2012000256166,8
1248,2012000257188,8
1249,2012000257376,8
1250,2012000257382,8
1251,2012000257520,8
1252,2012000257587,8
1253,2012000257763,8
1254,2012000258144,8
1255,2012000258254,8
1256,2012000258431,8
1257,2012000258626,8
1258,2012000258803,8
1259,2012000258975,8
1260,2012000259175,8
1261,2012000259291,8
1262,2012000259519,8
1263,2012000259975,8
1264,2012000259999,8
1265,2012000260035,8
1266,2012000260078,8
1267,2012000260154,8
1268,2012000260286,8
1269,2012000260446,8
1270,2012000260470,8
1271,2012000260846,8
1272,2012000261243,8
1273,2012000261545,8
1274,2012000261631,8
1275,2012000261656,8
1276,2012000261674,8
1277,2012000261783,8
1278,2012000262038,8
1279,2012000262435,8
1280,2012000262964,8
1281,2012000263159,8
1282,2012000264533,8
1283,2012000264880,8
1284,2012000264963,8
1285,2012000264980,8
1286,2012000265033,8
1287,2012000265196,8
1288,2012000265246,8
1289,2012000265873,8
1290,2012000266128,8
1291,2012000266173,8
1292,2012000266473,8
1293,2012000266597,8
1294,2012000266665,8
1295,2012000267155,8
1296,2012000267244,8
1297,2012000267479,8
1298,2012000267600,8
1299,2012000267795,8
1300,2012000267814,8
1301,2012000267888,8
1302,2012000268219,8
1303,2012000268283,8
1304,2012000268351,8
1305,2012000268479,8
1306,2012000268488,8
1307,2012000268643,8
1308,2012000269254,8
1309,2012000269292,8
1310,2012000269661,8
1311,2012000269723,8
1312,2012000269877,8
1313,2012000270013,8
1314,2012000270101,8
1315,2012000270253,8
1316,2012000270299,8
1317,2012000270314,8
1318,2012000270472,8
1319,2012000270496,8
1320,2012000270509,8
1321,2012000270526,8
1322,2012000270541,8
1323,2012000270577,8
1324,2012000270841,8
1325,2012000271101,8
1326,2012000271124,8
1327,2012000271142,8
1328,2012000271165,8
1329,2012000271303,8
1330,2012000271744,8
1331,2012000271760,8
1332,2012000271889,8
1333,2012000271962,8
1334,2012000272402,8
1335,2012000272625,8
1336,2012000272682,8
1337,2012000272872,8
1338,2012000272977,8
1339,2012000273309,8
1340,2012000273463,8
1341,2012000273660,8
1342,2012000273835,8
1343,2012000274079,8
1344,2012000274169,8
1345,2012000274623,8
1346,2012000274647,8
1347,2012000274936,8
1348,2012000275451,8
1349,2012000275760,8
1350,2012000276017,8
1351,2012000276207,8
1352,2012000276238,8
1353,2012000276507,8
1354,2012000276652,8
1355,2012000276903,8
1356,2012000276981,8
