,AGEP,CITWP,DDRS
1126,20,,2.0
1127,20,,2.0
1128,18,,2.0
1129,23,,2.0
1130,1,,
1131,1,,
1132,23,,2.0
1133,54,,2.0
1134,51,,2.0
1135,33,,2.0
1136,32,,2.0
1137,31,,2.0
1138,31,,2.0
1139,5,,2.0
1140,2,,
1141,1,,
1142,43,,2.0
1143,41,,2.0
1144,56,,2.0
1145,63,,2.0
1146,66,,1.0
1147,45,,2.0
1148,62,,2.0
1149,61,,2.0
1150,61,,2.0
1151,18,,2.0
1152,17,,2.0
1153,38,,2.0
1154,49,,2.0
1155,49,,2.0
1156,19,,2.0
1157,33,,2.0
1158,10,,2.0
1159,59,,2.0
1160,25,,2.0
1161,20,,2.0
1162,2,,
1163,1,,
1164,68,,2.0
1165,75,,2.0
1166,45,,2.0
1167,18,,2.0
1168,58,,2.0
1169,48,,2.0
1170,18,,2.0
1171,54,,1.0
1172,71,,2.0
1173,64,,1.0
1174,48,,2.0
1175,48,,2.0
1176,24,,2.0
1177,21,,2.0
1178,36,,2.0
1179,34,,2.0
1180,13,,2.0
1181,67,,2.0
1182,66,,2.0
1183,79,,2.0
1184,77,,2.0
1185,32,,2.0
1186,58,,2.0
1187,81,,2.0
1188,50,,2.0
1189,82,,2.0
1190,36,,2.0
1191,33,,2.0
1192,11,,2.0
1193,5,,2.0
1194,9,,2.0
1195,70,,2.0
1196,69,,2.0
1197,65,,2.0
1198,63,,2.0
1199,79,,2.0
1200,58,,2.0
1201,32,,2.0
1202,23,,2.0
1203,11,,2.0
1204,51,,2.0
1205,52,,2.0
1206,86,,2.0
1207,57,,2.0
1208,50,,2.0
1209,47,,2.0
1210,16,,2.0
1211,23,,2.0
1212,22,,2.0
1213,58,,2.0
1214,58,,2.0
1215,84,,2.0
1216,82,,2.0
1217,17,,2.0
1218,67,,2.0
1219,61,,2.0
1220,58,,2.0
1221,60,,2.0
1222,32,,2.0
1223,28,,2.0
1224,1,,
1225,23,,2.0
1226,0,,
1227,23,,2.0
1228,65,,2.0
1229,64,,2.0
1230,67,,2.0
1231,84,,2.0
1232,45,,2.0
1233,25,,2.0
1234,41,1997.0,2.0
1235,51,,2.0
1236,55,,2.0
1237,59,,2.0
1238,40,,2.0
1239,33,,2.0
1240,36,,2.0
1241,31,,2.0
1242,32,,2.0
1243,7,,2.0
1244,5,,2.0
1245,2,,
1246,69,,2.0
1247,52,,2.0
1248,61,,2.0
1249,61,,2.0
1250,55,,2.0
1251,51,,2.0
1252,17,,2.0
1253,84,,2.0
1254,83,,2.0
1255,55,,2.0
1256,20,,2.0
1257,42,1990.0,2.0
1258,54,,2.0
1259,53,,2.0
1260,69,,2.0
1261,62,,2.0
1262,46,,2.0
1263,64,,2.0
1264,56,,2.0
1265,81,,2.0
1266,61,,2.0
1267,50,,2.0
1268,18,,2.0
1269,71,,2.0
1270,73,,2.0
1271,79,,2.0
1272,74,,2.0
1273,21,,2.0
1274,33,,2.0
1275,44,,2.0
1276,40,,2.0
1277,13,,2.0
1278,12,,2.0
1279,10,,2.0
1280,25,,2.0
1281,24,,2.0
1282,81,,2.0
1283,78,,2.0
1284,61,,2.0
1285,62,,2.0
1286,68,,2.0
1287,59,,2.0
1288,64,,2.0
1289,75,,2.0
1290,75,,2.0
1291,73,,1.0
1292,19,,2.0
1293,53,,2.0
1294,77,,2.0
1295,77,,2.0
1296,50,,2.0
1297,55,,2.0
1298,63,,2.0
1299,59,,2.0
1300,52,,2.0
1301,57,,2.0
1302,34,,2.0
1303,11,,2.0
1304,63,,2.0
1305,68,,2.0
1306,60,,2.0
1307,54,,2.0
1308,64,,2.0
1309,35,,2.0
1310,17,,2.0
1311,11,,2.0
1312,48,,2.0
1313,51,,2.0
1314,18,,2.0
1315,60,,2.0
1316,61,,2.0
1317,25,,2.0
1318,30,,2.0
1319,4,,
1320,46,,2.0
1321,47,,2.0
1322,29,,2.0
1323,36,,2.0
1324,55,,2.0
1325,52,,2.0
1326,22,,2.0
1327,18,,2.0
1328,37,,2.0
1329,40,,2.0
1330,18,,2.0
1331,10,,2.0
1332,9,,2.0
1333,50,,2.0
1334,50,,2.0
1335,18,,2.0
1336,11,,2.0
1337,46,,2.0
1338,14,,2.0
1339,11,,2.0
1340,7,,2.0
1341,61,,2.0
1342,59,,2.0
1343,71,,2.0
1344,33,,2.0
1345,37,,2.0
1346,13,,2.0
1347,12,,2.0
1348,9,,2.0
