,SEMP,SEX,SSIP,WKHP,WKL
708,0.0,2,0.0,,3.0
709,0.0,1,0.0,84.0,1.0
710,0.0,2,0.0,40.0,1.0
711,160.0,1,0.0,8.0,1.0
712,0.0,2,0.0,4.0,1.0
713,0.0,2,2100.0,,3.0
714,0.0,1,0.0,,3.0
715,0.0,2,0.0,,3.0
716,0.0,1,0.0,40.0,1.0
717,0.0,1,0.0,,3.0
718,0.0,2,0.0,40.0,1.0
719,0.0,1,0.0,,2.0
720,0.0,2,0.0,,3.0
721,9000.0,2,0.0,20.0,1.0
722,,1,,,
723,0.0,2,0.0,,3.0
724,0.0,2,0.0,36.0,1.0
725,,1,,,
726,,1,,,
727,,2,,,
728,0.0,1,0.0,40.0,1.0
729,0.0,2,0.0,40.0,1.0
730,0.0,2,0.0,40.0,1.0
731,30000.0,1,0.0,40.0,1.0
732,0.0,1,0.0,40.0,1.0
733,0.0,2,0.0,,2.0
734,0.0,1,0.0,50.0,1.0
735,0.0,2,0.0,,2.0
736,0.0,1,0.0,,
737,,1,,,
738,0.0,2,0.0,,3.0
739,0.0,1,0.0,44.0,1.0
740,0.0,1,0.0,80.0,1.0
741,0.0,2,0.0,35.0,1.0
742,0.0,1,0.0,15.0,1.0
743,0.0,2,0.0,,
744,,1,,,
745,,2,,,
746,0.0,1,0.0,50.0,1.0
747,14000.0,2,0.0,20.0,1.0
748,,2,,,
749,,2,,,
750,0.0,1,0.0,40.0,1.0
751,0.0,2,0.0,40.0,1.0
752,,1,,,
753,0.0,1,0.0,30.0,1.0
754,0.0,1,0.0,,3.0
755,0.0,2,0.0,,3.0
756,0.0,2,0.0,35.0,1.0
757,0.0,1,12700.0,40.0,1.0
758,0.0,2,0.0,,2.0
759,0.0,2,0.0,20.0,1.0
760,0.0,2,0.0,,2.0
761,0.0,2,0.0,30.0,1.0
762,0.0,1,0.0,,3.0
763,0.0,2,0.0,40.0,1.0
764,0.0,1,0.0,40.0,1.0
765,0.0,1,0.0,,2.0
766,0.0,1,0.0,70.0,1.0
767,0.0,1,0.0,,3.0
768,0.0,2,0.0,30.0,1.0
769,0.0,2,0.0,36.0,1.0
770,0.0,2,0.0,4.0,1.0
771,0.0,2,0.0,35.0,1.0
772,,1,,,
773,0.0,1,0.0,40.0,1.0
774,0.0,2,0.0,,3.0
775,0.0,1,0.0,,3.0
776,0.0,2,0.0,10.0,1.0
777,0.0,1,0.0,60.0,1.0
778,0.0,2,0.0,25.0,1.0
779,0.0,1,0.0,12.0,1.0
780,0.0,1,0.0,50.0,1.0
781,0.0,2,0.0,40.0,1.0
782,0.0,1,0.0,,3.0
783,0.0,2,0.0,,3.0
784,0.0,1,0.0,40.0,1.0
785,0.0,2,0.0,40.0,1.0
786,0.0,1,0.0,40.0,1.0
787,0.0,1,0.0,,3.0
788,0.0,2,0.0,,3.0
789,0.0,2,0.0,45.0,1.0
790,60.0,1,0.0,40.0,1.0
791,0.0,2,0.0,6.0,1.0
792,,1,,,
793,0.0,2,0.0,,3.0
794,0.0,1,0.0,40.0,1.0
795,0.0,1,0.0,20.0,1.0
796,0.0,2,0.0,,3.0
797,0.0,2,0.0,40.0,1.0
798,0.0,1,0.0,50.0,1.0
799,,2,,,
800,0.0,1,0.0,36.0,1.0
801,0.0,2,0.0,32.0,1.0
802,,1,,,
803,,2,,,
804,0.0,1,0.0,,3.0
805,0.0,2,0.0,,2.0
806,0.0,2,0.0,35.0,1.0
807,0.0,2,0.0,,2.0
808,0.0,2,0.0,,3.0
809,16900.0,1,0.0,35.0,1.0
810,0.0,2,0.0,,3.0
811,0.0,2,0.0,,3.0
812,0.0,1,0.0,40.0,1.0
813,0.0,2,0.0,20.0,1.0
814,232000.0,1,0.0,36.0,1.0
815,0.0,2,0.0,,3.0
816,0.0,1,0.0,,2.0
817,0.0,2,0.0,35.0,1.0
818,0.0,1,0.0,50.0,1.0
819,0.0,2,0.0,40.0,1.0
820,,2,,,
821,0.0,2,0.0,40.0,1.0
822,0.0,2,0.0,15.0,1.0
