,ADJINC,PWGTP,AGEP,CIT,CITWP
570,1056030,6,77,1,
571,1056030,36,46,1,
572,1056030,35,47,1,
573,1056030,11,47,1,
574,1056030,13,39,1,
575,1056030,9,63,1,
576,1056030,9,63,1,
577,1056030,35,38,1,
578,1056030,3,23,1,
579,1056030,27,36,1,
580,1056030,10,75,1,
581,1056030,6,73,1,
582,1056030,14,77,4,1961.0
583,1056030,31,85,1,
584,1056030,24,74,1,
585,1056030,21,44,1,
586,1056030,23,59,1,
587,1056030,20,56,1,
588,1056030,24,88,1,
589,1056030,39,64,1,
590,1056030,17,49,5,
591,1056030,33,56,5,
592,1056030,3,37,1,
593,1056030,7,70,1,
594,1056030,7,81,1,
595,1056030,4,93,1,
596,1056030,3,51,1,
597,1056030,2,50,1,
598,1056030,70,57,1,
599,1056030,73,58,1,
600,1056030,33,67,3,
601,1056030,26,84,1,
602,1056030,28,78,1,
603,1056030,19,60,4,1972.0
604,1056030,9,45,1,
605,1056030,20,85,1,
606,1056030,9,48,1,
607,1056030,9,13,1,
608,1056030,13,76,1,
609,1056030,12,79,1,
610,1056030,16,43,1,
611,1056030,13,46,2,
612,1056030,20,21,1,
613,1056030,13,19,1,
614,1056030,22,0,1,
615,1056030,11,68,1,
616,1056030,9,23,1,
617,1056030,4,68,1,
618,1056030,4,68,1,
619,1056030,2,30,1,
620,1056030,7,5,1,
621,1056030,7,35,1,
622,1056030,21,86,4,1965.0
623,1056030,23,49,1,
624,1056030,23,46,1,
625,1056030,19,22,1,
626,1056030,19,20,1,
627,1056030,1,71,1,
628,1056030,21,49,1,
629,1056030,30,47,1,
630,1056030,12,53,1,
631,1056030,14,52,1,
632,1056030,24,46,1,
633,1056030,34,36,1,
634,1056030,24,17,1,
635,1056030,31,13,1,
636,1056030,31,12,1,
637,1056030,30,6,1,
638,1056030,37,2,1,
639,1056030,21,49,1,
640,1056030,23,43,1,
641,1056030,22,12,1,
642,1056030,7,38,1,
643,1056030,6,45,1,
644,1056030,6,14,1,
645,1056030,6,12,1,
646,1056030,7,11,1,
647,1056030,6,8,1,
648,1056030,6,8,1,
649,1056030,7,1,1,
650,1056030,26,39,1,
651,1056030,31,14,1,
652,1056030,16,40,1,
653,1056030,20,21,1,
654,1056030,18,28,1,
655,1056030,3,68,1,
656,1056030,10,25,1,
657,1056030,11,28,1,
658,1056030,26,2,1,
659,1056030,16,0,1,
660,1056030,27,4,1,
661,1056030,88,39,5,
662,1056030,74,38,5,
663,1056030,100,21,5,
664,1056030,82,18,5,
665,1056030,49,12,1,
666,1056030,55,2,1,
667,1056030,48,6,1,
668,1056030,55,0,1,
669,1056030,45,32,1,
670,1056030,58,39,1,
671,1056030,21,48,1,
672,1056030,65,34,1,
673,1056030,31,32,1,
674,1056030,15,10,1,
675,1056030,14,7,1,
676,1056030,14,12,1,
677,1056030,10,38,1,
678,1056030,12,38,1,
679,1056030,10,4,1,
680,1056030,11,1,1,
681,1056030,23,62,1,
682,1056030,16,42,1,
683,1056030,17,36,1,
684,1056030,24,18,1,
685,1056030,22,14,1,
686,1056030,24,70,1,
687,1056030,32,28,1,
688,1056030,36,25,1,
689,1056030,42,9,1,
690,1056030,36,1,1,
691,1056030,36,0,1,
692,1056030,37,5,1,
693,1056030,11,54,1,
694,1056030,15,51,1,
695,1056030,5,61,1,
696,1056030,14,66,1,
697,1056030,21,73,1,
698,1056030,23,72,1,
699,1056030,9,65,1,
700,1056030,12,63,1,
701,1056030,33,35,5,
702,1056030,29,28,5,
703,1056030,21,6,5,
704,1056030,38,0,1,
705,1056030,11,80,1,
706,1056030,13,77,1,
707,1056030,6,53,1,
708,1056030,2,62,1,
709,1056030,19,42,1,
710,1056030,15,43,1,
711,1056030,14,63,1,
712,1056030,14,63,1,
713,1056030,7,71,1,
714,1056030,29,76,1,
715,1056030,23,69,1,
716,1056030,29,60,1,
717,1056030,25,69,1,
718,1056030,26,64,1,
719,1056030,18,75,1,
720,1056030,19,63,1,
721,1056030,5,58,1,
722,1056030,3,11,1,
723,1056030,18,82,1,
724,1056030,11,28,1,
725,1056030,12,12,1,
726,1056030,12,6,1,
727,1056030,12,5,1,
728,1056030,33,50,1,
729,1056030,28,46,1,
730,1056030,12,50,1,
731,1056030,10,65,1,
732,1056030,15,40,1,
733,1056030,15,41,1,
734,1056030,18,39,1,
735,1056030,20,43,1,
736,1056030,15,15,1,
737,1056030,19,12,1,
738,1056030,13,69,1,
739,1056030,8,55,1,
740,1056030,15,44,1,
741,1056030,10,43,1,
742,1056030,22,18,1,
743,1056030,11,15,1,
744,1056030,16,12,1,
745,1056030,18,11,1,
746,1056030,5,54,1,
747,1056030,5,51,1,
748,1056030,7,14,1,
749,1056030,8,11,1,
750,1056030,23,37,1,
751,1056030,18,37,1,
752,1056030,20,4,1,
753,1056030,28,31,1,
754,1056030,19,74,1,
755,1056030,23,82,4,1974.0
756,1056030,17,59,1,
757,1056030,12,58,1,
758,1056030,11,61,1,
759,1056030,11,32,1,
760,1056030,14,66,1,
761,1056030,15,70,1,
762,1056030,3,66,1,
763,1056030,30,47,1,
764,1056030,27,51,1,
765,1056030,36,65,1,
766,1056030,21,39,5,
767,1056030,60,17,1,
768,1056030,43,44,5,
769,1056030,4,51,1,
770,1056030,4,18,1,
771,1056030,15,31,1,
772,1056030,27,9,1,
773,1056030,13,45,1,
774,1056030,19,39,1,
775,1056030,17,16,1,
