,AGEP
2152,69
2153,67
2154,60
2155,56
2156,64
2157,60
2158,37
2159,76
2160,54
2161,48
2162,16
2163,25
2164,33
2165,87
2166,89
2167,87
2168,79
2169,75
2170,32
2171,32
2172,5
2173,2
2174,78
2175,79
2176,41
2177,36
2178,11
2179,7
2180,55
2181,49
2182,21
2183,15
2184,14
2185,43
2186,46
2187,50
2188,30
2189,49
2190,38
2191,20
2192,53
2193,49
2194,29
2195,27
2196,25
2197,14
2198,74
2199,78
2200,27
2201,8
2202,7
2203,39
2204,40
2205,17
2206,15
2207,24
2208,21
2209,1
2210,47
2211,8
2212,44
2213,67
2214,70
2215,55
2216,71
2217,50
2218,76
2219,82
2220,49
2221,50
2222,54
2223,50
2224,41
2225,67
2226,64
2227,33
2228,34
2229,2
2230,48
2231,15
2232,15
2233,60
2234,49
2235,52
2236,17
2237,75
2238,50
2239,41
2240,38
2241,16
2242,13
2243,11
2244,9
2245,9
2246,5
2247,1
2248,63
2249,62
2250,22
2251,65
2252,62
2253,67
2254,43
2255,52
2256,50
2257,19
2258,40
2259,41
2260,7
2261,60
2262,60
2263,23
2264,5
2265,3
2266,0
2267,23
2268,18
2269,29
2270,20
2271,20
2272,20
2273,19
2274,63
2275,41
2276,36
2277,14
2278,12
2279,11
2280,8
2281,6
2282,4
2283,38
2284,34
2285,11
2286,8
2287,6
2288,4
2289,1
2290,61
2291,58
2292,44
2293,44
2294,16
2295,64
2296,54
2297,74
2298,81
2299,78
2300,35
2301,74
2302,85
2303,61
2304,68
2305,32
2306,37
2307,11
2308,9
2309,8
2310,4
2311,0
2312,59
2313,21
2314,70
2315,71
2316,59
2317,53
2318,73
2319,41
2320,51
2321,52
2322,36
2323,17
2324,14
2325,45
2326,41
2327,12
2328,66
2329,69
2330,46
2331,20
2332,46
2333,20
2334,32
2335,12
2336,32
2337,14
2338,39
2339,78
2340,78
2341,93
2342,53
2343,69
2344,75
2345,59
2346,64
2347,62
2348,52
2349,74
2350,67
2351,60
2352,56
2353,76
2354,60
2355,60
2356,24
2357,57
2358,57
2359,20
2360,42
2361,37
2362,9
2363,6
2364,54
2365,59
2366,31
2367,29
2368,7
2369,4
2370,1
2371,75
2372,40
2373,47
2374,59
2375,49
2376,71
2377,77
2378,49
2379,37
2380,36
2381,5
2382,3
2383,1
2384,15
2385,58
2386,36
2387,29
2388,32
2389,5
2390,0
2391,61
2392,61
2393,47
2394,35
2395,40
2396,58
2397,66
2398,29
2399,30
2400,1
2401,33
2402,12
2403,6
2404,11
2405,10
2406,45
2407,44
2408,73
2409,20
2410,55
2411,54
2412,61
2413,64
2414,56
2415,72
2416,49
2417,44
2418,41
2419,63
2420,64
2421,68
2422,53
2423,48
2424,17
2425,15
2426,29
2427,34
2428,9
2429,6
2430,3
2431,69
2432,29
2433,27
2434,2
2435,1
2436,40
2437,11
2438,9
2439,7
2440,44
2441,63
2442,54
2443,22
2444,30
2445,1
2446,0
2447,44
2448,34
2449,1
2450,11
2451,46
2452,46
2453,24
2454,26
2455,51
2456,53
2457,22
2458,64
2459,62
2460,81
2461,79
2462,49
2463,36
2464,13
2465,11
2466,67
2467,64
2468,45
2469,45
2470,15
2471,10
2472,8
2473,52
2474,55
2475,52
2476,21
2477,81
2478,42
2479,13
2480,67
2481,33
2482,38
2483,6
2484,2
2485,89
2486,64
2487,58
2488,38
2489,36
2490,15
2491,9
2492,36
2493,22
2494,6
2495,0
2496,25
2497,45
2498,41
2499,15
2500,13
2501,11
2502,49
2503,23
2504,37
2505,13
2506,4
2507,55
2508,56
2509,21
2510,54
2511,17
2512,57
2513,48
2514,53
2515,28
2516,30
2517,7
2518,5
2519,32
2520,29
2521,6
2522,4
2523,2
2524,0
2525,93
2526,53
2527,40
2528,13
2529,61
2530,82
2531,44
2532,38
2533,17
2534,15
2535,52
2536,11
2537,38
2538,35
2539,15
2540,13
2541,11
2542,9
2543,6
2544,56
2545,59
2546,86
2547,58
2548,58
2549,14
2550,52
2551,36
